Base time = 1609459201

Seconds,DS18x20_Temp,DHT22_Temp,DHT22_Humid
1,18.8,85.0,58.6
301,18.7,8.0,60.3
602,18.9,8.0,59.4
902,18.9,8.0,59.1
1203,18.9,8.0,59.0
1504,18.9,8.1,58.7
1804,18.8,8.1,58.2
2105,18.9,8.1,58.3
2405,18.9,7.9,58.3
2706,18.8,7.8,58.2
3007,18.8,7.7,58.0
3307,18.9,7.7,58.9
3608,18.9,7.8,58.9
3908,18.8,7.8,58.9
4209,18.8,7.8,58.8
4510,18.8,7.8,59.2
4810,18.8,7.8,60.3
5111,18.8,7.8,60.2
5412,18.8,7.8,59.8
5712,18.8,7.9,59.5
6013,18.7,7.9,59.7
6313,18.7,7.9,59.2
6614,18.7,7.9,59.1
6915,18.7,7.9,58.9
7215,18.7,7.8,59.1
7516,18.7,7.9,58.7
7817,18.7,7.9,58.9
8117,18.7,7.9,58.7
8418,18.7,7.9,58.9
8718,18.6,7.9,58.7
9019,18.6,7.9,58.7
9320,18.6,7.9,58.6
9620,18.6,7.9,58.6
9921,18.6,7.9,58.5
10222,18.6,8.0,58.4
10522,18.5,7.9,58.4
10823,18.5,7.9,58.4
11124,18.5,7.9,58.4
11424,18.5,7.9,58.6
11725,18.5,7.9,58.4
12026,18.5,7.9,58.3
12326,18.4,7.9,58.5
12627,18.5,7.9,58.6
12927,18.5,7.8,58.4
13228,18.4,7.8,58.5
13529,18.5,7.7,58.4
13829,18.5,7.7,58.4
14130,18.5,7.7,58.4
14431,18.5,7.8,58.4
14731,18.5,7.8,57.9
15032,18.5,7.8,58.4
15333,18.5,7.8,58.0
15633,18.5,7.8,58.3
15934,18.5,7.8,58.2
16234,18.5,7.7,58.2
16535,18.5,7.6,58.1
16836,18.6,7.7,58.2
17136,18.6,7.7,58.4
17437,18.6,7.8,58.1
17738,18.6,7.7,58.3
18038,18.6,7.7,58.2
18339,18.6,7.8,58.2
18640,18.7,7.8,57.9
18940,18.7,7.8,58.0
19241,18.7,7.8,58.2
19542,18.6,7.9,58.0
19842,18.6,7.8,57.8
20143,18.6,7.8,57.8
20444,18.7,7.8,57.8
20744,18.7,7.8,57.9
21045,18.7,7.9,57.9
21345,18.7,7.9,58.0
21646,18.7,7.9,58.0
21947,18.6,7.8,57.6
22247,18.6,7.8,57.9
22548,18.6,7.9,57.8
22849,18.6,7.8,57.8
23149,18.6,7.8,57.9
23450,18.6,7.8,57.8
23751,18.7,7.8,57.6
24051,18.7,7.8,57.9
24352,18.7,7.8,57.5
24653,18.6,7.8,57.4
24953,18.6,7.8,57.6
25254,18.5,7.8,57.6
25555,18.6,7.8,57.4
25855,18.6,7.8,57.8
26156,18.5,7.8,57.7
26457,18.5,7.8,57.3
26757,18.5,7.8,57.6
27058,18.5,7.9,57.7
27358,18.5,7.8,57.8
27659,18.5,7.8,57.8
27960,18.5,7.8,57.6
28260,18.5,7.9,57.7
28561,18.5,7.9,57.7
28862,18.5,7.8,57.6
29162,18.6,7.9,57.4
29463,18.5,7.9,57.6
29764,18.5,7.9,57.3
30064,18.5,7.9,57.6
30365,18.5,7.9,57.4
30666,18.5,7.9,57.2
30966,18.5,7.9,57.2
31267,18.5,7.9,57.3
31568,18.5,7.8,57.4
31868,18.5,7.9,57.5
32169,18.5,7.9,57.2
32470,18.4,7.9,57.3
32770,18.5,7.9,57.2
33071,18.5,7.9,57.0
33372,18.5,7.9,57.0
33672,18.5,7.9,57.1
33973,18.5,7.9,57.1
34273,18.6,7.8,57.1
34574,18.5,7.9,57.1
34875,18.5,7.9,56.9
35175,18.4,7.8,56.7
35476,18.4,7.8,57.0
35777,18.4,7.8,57.0
36077,18.4,7.8,56.8
36378,18.5,7.8,56.9
36679,18.4,7.8,56.7
36979,18.4,7.8,56.8
37280,18.4,7.9,56.5
37581,18.4,7.8,56.6
37881,18.4,7.9,56.7
38182,18.4,7.8,56.7
38483,18.4,7.8,56.6
38783,18.5,7.8,56.7
39084,18.4,7.8,56.5
39385,18.4,7.8,57.0
39685,18.4,7.8,56.6
39986,18.4,7.8,56.4
40286,18.5,7.8,56.3
40587,18.4,7.8,56.5
40888,18.4,7.9,56.6
41188,18.4,7.8,56.6
41489,18.4,7.8,56.3
41790,18.4,7.9,56.1
