Time,Outside,Flow,Return
2021-12-04 19:44:36,3.6,32.9,24.1
2021-12-04 19:45:38,3.6,32.6,24.1
2021-12-04 19:46:41,3.6,32.5,24.1
2021-12-04 19:47:44,3.6,32.6,24.0
2021-12-04 19:48:47,3.6,32.8,23.9
2021-12-04 19:49:49,3.6,32.9,23.9
2021-12-04 19:50:52,3.6,32.8,23.9
2021-12-04 19:51:55,3.6,32.7,23.9
2021-12-04 19:52:57,3.6,32.6,23.9
2021-12-04 19:54:00,3.6,32.8,23.9
2021-12-04 19:55:03,3.6,33.3,23.9
2021-12-04 19:56:06,3.6,34.2,23.9
2021-12-04 19:57:08,3.6,35.0,23.9
2021-12-04 19:58:11,3.7,35.6,24.0
2021-12-04 19:59:14,3.7,35.9,24.1
2021-12-04 20:00:16,3.6,36.1,24.1
2021-12-04 20:01:19,3.7,36.0,24.1
2021-12-04 20:02:22,3.7,35.8,24.2
2021-12-04 20:03:24,3.7,35.4,24.2
2021-12-04 20:04:27,3.7,35.0,24.2
2021-12-04 20:05:30,3.7,34.8,24.2
2021-12-04 20:06:33,3.6,34.6,24.2
2021-12-04 20:07:35,3.7,34.6,24.2
2021-12-04 20:08:38,3.7,34.4,24.2
2021-12-04 20:09:41,3.7,34.2,24.2
2021-12-04 20:10:43,3.7,34.0,24.2
2021-12-04 20:11:46,3.6,34.1,24.2
2021-12-04 20:12:49,3.6,34.4,24.2
2021-12-04 20:13:51,3.6,35.1,24.2
2021-12-04 20:14:54,3.7,35.7,24.2
2021-12-04 20:15:57,3.7,36.1,24.3
2021-12-04 20:16:59,3.7,36.3,24.3
2021-12-04 20:18:02,3.7,36.4,24.3
2021-12-04 20:19:05,3.6,36.4,24.4
2021-12-04 20:20:08,3.7,36.2,24.4
2021-12-04 20:21:10,3.7,35.9,24.4
2021-12-04 20:22:13,3.6,35.5,24.4
2021-12-04 20:23:16,3.6,35.2,24.4
2021-12-04 20:24:18,3.6,35.1,24.4
2021-12-04 20:25:21,3.6,35.0,24.4
2021-12-04 20:26:24,3.6,34.9,24.4
2021-12-04 20:27:27,3.6,34.7,24.4
2021-12-04 20:28:29,3.6,34.4,24.3
2021-12-04 20:29:32,3.5,34.3,24.3
2021-12-04 20:30:35,3.5,34.6,24.3
2021-12-04 20:31:37,3.5,35.2,24.3
2021-12-04 20:32:40,3.5,35.9,24.3
2021-12-04 20:33:43,3.5,36.4,24.4
2021-12-04 20:34:46,3.5,36.8,24.4
2021-12-04 20:35:48,3.5,36.9,24.4
2021-12-04 20:36:51,3.5,36.9,24.4
2021-12-04 20:37:54,3.5,36.7,24.5
2021-12-04 20:38:56,3.5,36.3,24.5
2021-12-04 20:39:59,3.5,36.0,24.5
2021-12-04 20:41:02,3.4,35.8,24.5
2021-12-04 20:42:04,3.4,35.7,24.4
2021-12-04 20:43:07,3.5,35.6,24.4
2021-12-04 20:44:10,3.5,35.4,24.4
2021-12-04 20:45:13,3.5,35.1,24.4
2021-12-04 20:46:15,3.5,34.9,24.4
2021-12-04 20:47:18,3.6,34.8,24.4
2021-12-04 20:48:21,3.6,35.1,24.4
2021-12-04 20:49:23,3.6,35.7,24.4
2021-12-04 20:50:26,3.6,36.3,24.4
2021-12-04 20:51:29,3.6,36.8,24.5
2021-12-04 20:52:31,3.6,36.9,24.5
2021-12-04 20:53:34,3.6,36.9,24.5
2021-12-04 20:54:37,3.6,36.9,24.6
2021-12-04 20:55:40,3.6,36.8,24.5
2021-12-04 20:56:42,3.6,36.5,24.5
