Time,Outside,Flow,Return,Room,RollingAvgOutside,SlabTarget,SlabTrigger,SlabModelled,records_since_relay_change,heat_off_slab_temp,Call
2022-03-26 18:40:22,13.4,33.2,20.8,19.4,13.4,19.7,16.7,18.0,0,20.7,0
2022-03-26 18:45:36,13.2,32.5,21.0,19.4,13.3,19.7,16.7,17.9,1,20.7,0
2022-03-26 18:50:50,12.9,31.0,21.0,19.4,13.1,19.7,16.7,17.9,2,20.7,0
2022-03-26 18:56:05,12.6,29.0,20.9,19.5,13.0,19.8,16.8,17.8,3,20.7,0
2022-03-26 19:01:19,12.4,27.2,20.9,19.8,12.9,19.8,16.8,17.8,4,20.7,0
2022-03-26 19:06:33,12.4,25.9,20.8,19.9,12.8,19.9,16.9,17.7,5,20.7,0
2022-03-26 19:11:47,12.3,24.8,20.7,19.9,12.7,19.9,16.9,17.7,6,20.7,0
2022-03-26 19:17:01,12.2,23.9,20.6,19.8,12.7,19.9,16.9,17.6,7,20.7,0
2022-03-26 19:22:16,12.2,23.3,20.5,19.7,12.6,20.0,17.0,17.6,8,20.7,0
2022-03-26 19:27:30,12.3,22.8,20.4,19.7,12.6,20.0,17.0,17.5,9,20.7,0
2022-03-26 19:33:05,12.2,22.5,20.3,19.8,12.5,20.0,17.0,17.5,10,20.7,0
2022-03-26 19:38:34,12.3,22.2,20.2,20.2,12.5,20.0,17.0,17.4,11,20.7,0
2022-03-26 19:44:03,12.3,22.0,20.0,20.4,12.5,20.0,17.0,17.4,12,20.7,0
2022-03-26 19:49:32,12.3,21.8,19.9,20.5,12.5,20.0,17.0,17.3,13,20.7,0
2022-03-26 19:55:00,12.3,21.6,19.8,20.5,12.5,20.0,17.0,17.3,14,20.7,0
2022-03-26 20:00:29,12.3,21.5,19.7,20.6,12.5,20.0,17.0,17.2,15,20.7,0
2022-03-26 20:05:58,12.3,21.3,19.6,20.6,12.5,20.0,17.0,17.2,16,20.7,0
2022-03-26 20:11:27,12.3,21.2,19.5,20.6,12.4,20.0,17.0,17.1,17,20.7,0
2022-03-26 20:16:56,12.3,21.1,19.4,20.7,12.4,20.0,17.0,17.1,18,20.7,0
2022-03-26 20:22:25,12.3,21.0,19.3,20.7,12.4,20.0,17.0,17.0,19,20.7,0
2022-03-26 20:27:53,12.3,20.8,19.2,20.7,12.4,20.0,17.0,17.0,-1,20.7,1
2022-03-26 20:33:22,12.3,21.1,19.3,20.8,12.4,20.0,17.0,19.3,0,20.7,1
2022-03-26 20:39:06,12.3,27.9,19.9,20.7,12.4,20.0,17.0,19.9,1,20.7,1
2022-03-26 20:44:35,12.3,32.6,20.5,20.8,12.4,20.0,17.0,20.5,2,20.7,1
2022-03-26 20:50:04,12.3,34.8,20.7,20.8,12.4,20.0,17.0,20.7,3,20.7,1
2022-03-26 20:55:33,12.3,33.8,20.9,20.8,12.4,20.0,17.0,20.9,4,20.7,1
2022-03-26 21:01:02,12.3,35.1,21.1,20.9,12.4,20.0,17.0,21.1,5,20.7,1
2022-03-26 21:07:03,12.3,34.0,21.2,20.9,12.4,20.0,17.0,21.2,6,20.7,1
2022-03-26 21:12:31,12.3,35.0,21.3,20.8,12.4,20.0,17.0,21.3,-1,21.3,0
2022-03-26 21:18:00,12.3,34.3,21.4,20.8,12.4,20.0,17.0,21.2,0,21.3,0
2022-03-26 21:23:29,12.3,34.7,21.5,20.8,12.4,20.0,17.0,21.1,1,21.3,0
2022-03-26 21:28:58,12.3,32.1,21.5,20.9,12.4,20.0,17.0,21.1,2,21.3,0
2022-03-26 21:34:27,12.3,29.8,21.5,20.9,12.4,20.0,17.0,21.0,3,21.3,0
2022-03-26 21:39:55,12.3,28.0,21.4,20.8,12.4,20.0,17.0,20.9,4,21.3,0
2022-03-26 21:45:24,12.3,26.6,21.4,20.9,12.4,20.0,17.0,20.8,5,21.3,0
2022-03-26 21:50:53,12.3,25.5,21.3,21.0,12.4,20.1,17.1,20.7,6,21.3,0
2022-03-26 21:56:22,12.3,24.7,21.2,21.0,12.4,20.1,17.1,20.6,7,21.3,0
2022-03-26 22:01:36,10.7,24.1,21.0,20.8,12.3,20.1,17.1,20.6,8,21.3,0
2022-03-26 22:06:50,10.2,23.6,20.9,20.5,12.3,20.1,17.1,20.5,9,21.3,0
2022-03-26 22:12:04,10.2,23.1,20.8,20.3,12.2,20.1,17.1,20.4,10,21.3,0
2022-03-26 22:17:18,10.2,22.6,20.6,20.2,12.2,20.1,17.1,20.3,11,21.3,0
2022-03-26 22:22:33,10.2,22.3,20.4,20.2,12.1,20.2,17.2,20.2,12,21.3,0
2022-03-26 22:27:47,10.0,22.1,20.3,20.2,12.1,20.2,17.2,20.1,13,21.3,0
2022-03-26 22:33:01,9.8,21.9,20.2,20.4,12.0,20.2,17.2,20.1,14,21.3,0
2022-03-26 22:38:15,9.7,21.7,20.1,20.4,12.0,20.2,17.2,20.0,15,21.3,0
2022-03-26 22:43:30,9.8,21.7,20.0,20.4,11.9,20.2,17.2,19.9,16,21.3,0
2022-03-26 22:48:44,9.6,21.6,20.0,20.4,11.9,20.2,17.2,19.8,17,21.3,0
2022-03-26 22:53:58,9.6,21.5,19.9,20.4,11.8,20.3,17.3,19.7,18,21.3,0
2022-03-26 22:59:12,9.5,21.3,19.8,20.4,11.8,20.3,17.3,19.7,19,21.3,0
2022-03-26 23:04:26,9.4,21.2,19.7,20.4,11.7,20.3,17.3,19.6,20,21.3,0
2022-03-26 23:09:40,9.3,21.1,19.6,20.4,11.7,20.3,17.3,19.5,21,21.3,0
2022-03-26 23:14:55,9.3,20.9,19.5,20.4,11.6,20.3,17.3,19.4,22,21.3,0
2022-03-26 23:20:09,9.2,20.8,19.5,20.4,11.6,20.4,17.4,19.3,23,21.3,0
2022-03-26 23:25:23,9.3,20.7,19.4,20.4,11.6,20.4,17.4,19.3,24,21.3,0
2022-03-26 23:30:37,9.2,20.6,19.3,20.3,11.5,20.4,17.4,19.2,25,21.3,0
2022-03-26 23:35:51,9.2,20.4,19.3,20.3,11.5,20.4,17.4,19.1,26,21.3,0
2022-03-26 23:41:06,9.3,20.3,19.2,20.3,11.4,20.4,17.4,19.0,27,21.3,0
2022-03-26 23:46:20,9.3,20.2,19.1,20.3,11.4,20.4,17.4,19.0,28,21.3,0
2022-03-26 23:51:34,9.2,20.1,19.1,20.2,11.4,20.5,17.5,18.9,29,21.3,0
2022-03-26 23:56:48,9.2,20.0,19.0,20.2,11.3,20.5,17.5,18.8,30,21.3,0
2022-03-27 00:02:02,9.1,20.0,18.9,20.2,11.3,20.5,17.5,18.7,31,21.3,0
2022-03-27 00:07:17,9.0,19.9,18.9,20.2,11.2,20.5,17.5,18.7,32,21.3,0
2022-03-27 00:12:31,9.1,19.8,18.8,20.2,11.2,20.5,17.5,18.6,33,21.3,0
2022-03-27 00:17:45,8.9,19.7,18.8,20.2,11.2,20.5,17.5,18.5,34,21.3,0
