Time,Outside,Flow,Return,Room,RollingAvgOutside,SlabTarget,SlabTrigger,SlabModelled,records_since_relay_change,Call
2022-04-02 08:50:42,3.1,23.4,21.3,18.5,3.1,21.5,18.5,17.9,0,0
2022-04-02 08:55:57,3.2,23.2,21.2,18.4,3.1,21.4,18.4,17.9,1,0
2022-04-02 09:01:11,3.2,22.9,21.0,18.4,3.1,21.4,18.4,17.8,2,0
2022-04-02 09:06:25,3.1,22.5,20.8,18.4,3.1,21.4,18.4,17.7,3,0
2022-04-02 09:11:39,3.1,22.1,20.7,18.4,3.1,21.4,18.4,17.6,4,0
2022-04-02 09:16:53,3.2,21.9,20.5,18.4,3.1,21.4,18.4,17.6,5,0
2022-04-02 09:22:07,3.3,21.8,20.4,18.4,3.2,21.4,18.4,17.5,6,0
2022-04-02 09:27:22,3.4,21.7,20.3,18.4,3.2,21.4,18.4,17.4,-1,1
2022-04-02 09:32:36,3.6,21.6,20.2,18.4,3.2,21.4,18.4,20.2,0,1
2022-04-02 09:37:50,3.6,20.9,20.0,18.4,3.3,21.4,18.4,20.0,1,1
2022-04-02 09:43:04,4.2,21.5,20.3,18.4,3.4,21.3,18.3,20.3,2,1
2022-04-02 09:48:18,4.4,27.7,20.5,18.4,3.4,21.3,18.3,20.5,3,1
2022-04-02 09:53:33,4.5,32.5,20.7,18.3,3.5,21.2,18.2,20.7,4,1
2022-04-02 09:58:47,5.0,31.8,21.1,18.3,3.6,21.2,18.2,21.1,5,1
2022-04-02 10:04:01,4.8,35.5,21.4,18.4,3.7,21.1,18.1,21.4,6,1
2022-04-02 10:09:16,5.0,35.6,21.5,18.5,3.8,21.1,18.1,21.5,-1,0
2022-04-02 10:14:30,5.1,32.6,21.3,18.6,3.9,21.1,18.1,21.4,0,0
2022-04-02 10:19:44,5.1,30.9,21.0,18.6,3.9,21.0,18.0,21.3,1,0
2022-04-02 10:24:58,5.2,29.2,20.7,18.8,4.0,21.0,18.0,21.2,2,0
2022-04-02 10:30:12,5.2,27.5,20.8,18.8,4.1,21.0,18.0,21.1,3,0
2022-04-02 10:35:26,5.1,26.1,20.9,18.8,4.1,20.9,17.9,21.1,4,0
2022-04-02 10:40:41,5.2,25.1,20.9,18.8,4.2,20.9,17.9,21.0,5,0
2022-04-02 10:45:55,5.4,24.4,20.8,18.7,4.2,20.9,17.9,20.9,6,0
2022-04-02 10:51:09,5.7,23.7,20.6,18.7,4.3,20.9,17.9,20.8,7,0
2022-04-02 10:56:23,5.8,23.1,20.5,18.6,4.3,20.8,17.8,20.7,8,0
2022-04-02 11:01:37,6.1,22.5,20.4,18.6,4.4,20.8,17.8,20.6,9,0
2022-04-02 11:06:51,5.9,22.1,20.3,18.7,4.5,20.8,17.8,20.6,10,0
2022-04-02 11:12:06,5.8,21.9,20.3,18.6,4.5,20.7,17.7,20.5,11,0
