DateTime,Temp1,Temp2
20210101_000001,85.0,85.0
20210101_000101,30.1,33.3
20210101_000201,30.3,34.3
20210101_000302,30.3,34.7
20210101_000402,30.3,34.8
20210101_000502,30.3,34.6
20210101_000603,30.1,34.4
20210101_000703,30.0,34.1
20210101_000803,29.9,33.8
20210101_000903,29.7,33.6
20210101_001004,29.6,33.3
20210101_001104,29.4,33.0
20210101_001204,29.3,32.8
20210101_001305,29.1,32.5
20210101_001405,29.0,32.3
20210101_001505,28.9,32.0
20210101_001605,28.8,33.4
20210101_001706,28.9,35.0
20210101_001806,28.9,35.6
20210101_001906,28.9,35.7
20210101_002007,28.9,35.6
20210101_002107,28.9,35.3
20210101_002207,28.8,35.0
20210101_002308,28.7,34.8
20210101_002408,28.6,34.6
20210101_002508,28.4,34.4
20210101_002609,28.4,34.1
20210101_002709,28.3,33.8
20210101_002809,28.2,33.5
20210101_002910,28.1,33.2
20210101_003010,27.9,34.2
20210101_003110,28.1,35.9
20210101_003210,28.3,36.6
20210101_003311,28.3,36.7
20210101_003411,28.3,36.6
20210101_003511,28.3,36.3
20210101_003612,28.3,36.0
20210101_003712,28.3,35.6
20210101_003812,28.2,35.3
20210101_003913,28.1,34.9
20210101_004013,28.1,34.6
20210101_004113,28.1,34.2
20210101_004214,28.0,33.9
20210101_004314,27.9,33.5
20210101_004414,27.9,33.2
20210101_004515,27.8,32.9
20210101_004615,27.8,32.6
20210101_004715,27.8,32.3
20210101_004816,27.7,32.1
20210101_004916,27.6,31.7
20210101_005016,27.6,31.6
20210101_005117,27.5,31.3
20210101_005217,27.5,31.1
20210101_005317,27.4,30.9
20210101_005418,27.3,30.6
20210101_005518,27.3,30.4
20210101_005618,27.2,30.2
20210101_005719,27.2,30.0
20210101_005819,27.1,29.8
20210101_005919,27.1,29.7
20210101_010020,27.0,29.5
20210101_010120,26.9,29.3
20210101_010220,26.9,29.1
20210101_010321,26.8,29.0
20210101_010421,26.7,28.8
20210101_010521,26.7,28.7
20210101_010622,26.6,28.5
20210101_010722,26.6,28.4
20210101_010822,26.5,28.3
20210101_010923,26.4,28.1
20210101_011023,26.4,28.0
20210101_011123,26.3,27.8
20210101_011224,26.3,27.8
20210101_011324,26.2,27.6
20210101_011424,26.2,27.5
20210101_011525,26.1,27.4
20210101_011625,26.1,27.3
20210101_011725,26.0,27.1
20210101_011826,25.9,27.1
20210101_011926,25.9,26.9
20210101_012026,25.8,26.9
20210101_012127,25.8,26.7
20210101_012227,25.8,26.7
20210101_012327,25.7,26.6
20210101_012428,25.6,26.5
20210101_012528,25.6,26.4
20210101_012628,25.5,26.3
20210101_012729,25.4,26.3
20210101_012829,25.4,26.1
20210101_012929,25.4,26.1
20210101_013030,25.3,26.0
20210101_013130,25.3,25.9
20210101_013230,25.3,25.8
